IPLAN	ICURSO	TITULO	ITEMA	IRECURSO	BACTIVO	IUSUARIOCRE	IAPPCRE	IPCRE	FHCRE	IUSUARIOULT	IAPPULT	IPULT	FHULT
070	CP40MOD075	INFORMES EN MONEDA EXTRANJERA											
080	CP40MOD075	TAREAS PERIODICAS											
055	CP40MOD075	OPERACIONES QUE IMPRIMEN DOCUMENTOS EN OTRA MONEDA											
010	CP40MOD135	IVA como mayor valor											
040	CP40MOD385	Funciones de Contabilidad											
050	CP40MOD385	Funciones de Inventarios											
010	CP40MOD490	Instalación ContaPyme - AgroWin versión 4.0											
005	CP40MOD490	Charlas generales											
020	CP40MOD490	Sistema de soporte en línea											
010	CP40MOD430	Sistema de soporte técnico en línea											
030	CP40MOD120	CONFIGURACIONES INICIALES											
010	CP40MOD370	Sincronización entre sucursales											
010	CP40MOD620	Introducción a las NIIF											
020	CP40MOD430	Modalidades de solicitud de soporte técnico											
010	CP40MOD530	Iniciando con ContaPyme móvil											
020	CP40MOD530	Catálogos ContaPyme móvil											
030	CP40MOD530	Registro y consulta de operaciones desde ContaPyme móvil											
040	CP40MOD530	Consulta de estados financieros											
050	CP40MOD530	Consulta de reportes											
060	CP40MOD530	Configuraciones en ContaPyme de escritorio											
070	CP40MOD530	Instalación de ContaPyme móvil - Agente de Servicios web											
020	CP40MOD160	CONFIGURACIONES INICIALES											
030	CP40MOD160	OPERACIONES DE FACTURACIÓN Y ABONO A CUENTA POR COBRAR											
020	CP40MOD620	Adecuación inicial y presentación de Estados Financieros											
030	CP40MOD620	Notas y revelaciones											
040	CP40MOD620	Propiedad, planta y equipo											
050	CP40MOD620	Activos intangibles											
060	CP40MOD620	Inventarios											
070	CP40MOD620	Moneda extranjera											
080	CP40MOD620	Estado de flujos de efectivo											
014	CP40MOD075	OBJETIVO Y ALCANCE NIIF											
017	CP40MOD075	DEFINICIONES											
090	CP40MOD620	Adopción por primera vez											
010	CP40MOD050	INTRODUCCIÓN A FLUJOS DE EFECTIVO											
020	CP40MOD050	CONCEPTOS GENERALES											
030	CP40MOD050	CONFIGURACIONES INICIALES											
040	CP40MOD050	CATÁLOGO DE CONCEPTOS DE FLUJOS DE EFECTIVO											
050	CP40MOD050	REGISTRO DE OPERACIONES QUE IMPLICAN INGRESO O EGRESO DE EFECTIVO											
060	CP40MOD050	INFORME DE FLUJO DE EFECTIVO POR EL MÉTODO DIRECTO											
020	CP40MOD093	CONFIGURACIONES INICIALES											
030	CP40MOD093	OPERACIONES DE NOMINA CONTABLE											
020	CP40MOD060	CONCEPTOS GENERALES											
030	CP40MOD060	CONFIGURACIONES INICIALES											
040	CP40MOD060	REGISTRO DE TIPOS DE MOVIMIENTO BANCARIO EN OPERACIONES											
050	CP40MOD060	OPERACIÓN DE CONCILIACIÓN BANCARIA MANUAL											
015	CP40MOD170	CONCEPTOS GENERALES											
040	CP40MOD120	REGISTRO DE TIPOS DE MOVIMIENTO BANCARIO EN LAS OPERACIONES											
050	CP40MOD120	OPERACIÓN DE CONCILIACIÓN BANCARIA AUTOMÁTICA											
025	CP40MOD490	ContaPyme móvil											
040	CP40MOD160	INFORMES DE COMISIONES											
020	CP40MOD100	CONCEPTOS GENERALES											
030	CP40MOD100	EDITOR DE PRESUPUESTOS											
040	CP40MOD100	INFORMES DE PRESUPUESTO Y EJECUCIÓN PRESUPUESTAL											
050	CP40MOD100	TABLAS COMPARATIVAS DE EJECUCIÓN PRESUPUESTAL											
020	CP40MOD025	POLITICAS CONTABLES											
030	CP40MOD025	NOTAS Y REVELACIONES											
100	CP40MOD150	CONFIGURACIÓN DE PERIFÉRICOS											
040	CP40MOD080	EXPLORADORES DE CARTERA Y PROVEEDORES											
021	CP40MOD090	OPERACIONES DE AUTOMATIZACIÓN DE PAGOS											
005010	CP40MOD130	Descripción general del módulo de Inventarios básico											
005020	CP40MOD130	Explicación conceptual del módulo											
005020	CP40MOD490	Precios ContaPyme / AgroWin 2014											
005010	CP40MOD490	Charla políticas para distribuidores 2013											
005005	CP40MOD490	Charla comercial 26 de Abril de 2014											
010020	CP40MOD005	Concepto de servidor											
010060	CP40MOD005	Concepto de dominio											
010030	CP40MOD005	Concepto de cliente											
010070	CP40MOD005	Concepto de área de trabajo											
010050	CP40MOD005	Concepto de licencia											
010010	CP40MOD005	Concepto del sistema cliente/servidor											
010040	CP40MOD005	Qué es Firebird y sus ventajas											
010010	CP40MOD010	Descripción general del módulo											
090010	CP40MOD010	Navegación en la plataforma											
010020	CP40MOD020	Descripción general del módulo											
010010	CP40MOD040	Introducción											
010020	CP40MOD040	Generación de formularios de IVA en ContaExcel											
010010	CP40MOD050	Descripción general del módulo											
010005	CP40MOD050	Explicación conceptual del módulo											
010030	CP40MOD060	Descripción general del módulo											
010025	CP40MOD060	Explicación conceptual del módulo											
010005	CP40MOD075	Introducción manejo de moneda extranjera											
010010	CP40MOD075	Descripción general del módulo											
010020	CP40MOD075	Explicación conceptual del módulo											
010010	CP40MOD080	Descripción general del módulo											
010010	CP40MOD090	Descripción general del módulo											
010020	CP40MOD093	Descripción general del módulo											
010015	CP40MOD093	Explicación conceptual del módulo											
010010	CP40MOD095	Encabezado de la operación											
010020	CP40MOD095	Explicación paso de liquidación de impuestos											
010030	CP40MOD095	Explicación paso de formas de pago											
010040	CP40MOD095	Explicación de configuración de formas de pago por defecto											
010050	CP40MOD095	Programación a cuotas											
010060	CP40MOD095	Creación de observaciones para las operaciones											
010070	CP40MOD095	Programación escalonada a cuotas											
010030	CP40MOD100	Explicación conceptual del módulo											
010040	CP40MOD100	Descripción general del módulo											
010010	CP40MOD110	Introducción											
010020	CP40MOD110	Activos fijos											
010025	CP40MOD120	Explicación conceptual del módulo											
010030	CP40MOD120	Descripción general del módulo											
010010	CP40MOD130	Definición de inventario											
010020	CP40MOD130	Definición de costo promedio ponderado											
010010	CP40MOD135	IVA como mayor valor											
010010	CP40MOD140	Descripción general del módulo											
010030	CP40MOD150	Descripción general del módulo											
010040	CP40MOD150	Explicación conceptual de la operación de POS											
010010	CP40MOD160	Introducción											
010020	CP40MOD160	Inventarios comisiones											
010025	CP40MOD160	Explicación conceptual del módulo											
010030	CP40MOD160	Descripción general del módulo											
010010	CP40MOD170	Descripción general del módulo											
010070	CP40MOD180	Introducción preliminar a costos - Versión 4.0 Parte 1 de 2											
010080	CP40MOD180	Introducción preliminar a costos - Versión 4.0 Parte 2 de 2											
010010	CP40MOD180	Introducción											
010030	CP40MOD180	Introducción preliminar a costos Parte 1 de 4											
010040	CP40MOD180	Introducción preliminar a costos Parte 2 de 4											
010050	CP40MOD180	Introducción preliminar a costos Parte 3 de 4											
010060	CP40MOD180	Introducción preliminar a costos Parte 4 de 4											
010010	CP40MOD185	Introducción											
010020	CP40MOD185	Metodologías de costos											
010010	CP40MOD190	Introducción											
010020	CP40MOD190	Insumos y materiales											
010010	CP40MOD210	Introducción											
010020	CP40MOD210	Manejo de la producción											
010020	CP40MOD230	Actividades y labores											
010020	CP40MOD250	Tratamiento de costos indirectos											
010010	CP40MOD270	Introducción											
010020	CP40MOD270	Costeo por líneas de producción											
010010	CP40MOD280	Introducción											
010020	CP40MOD280	Costeo por órdenes de producción											
010020	CP40MOD320	Introducción											
010030	CP40MOD320	Costeo de maquinaria y equipo											
010010	CP40MOD350	Introducción											
010020	CP40MOD350	Usuarios y perfiles de seguridad											
010020	CP40MOD360	Diseñador de documentos											
010010	CP40MOD370	Sincronización entre sucursales											
010010	CP40MOD380	Introducción											
010020	CP40MOD380	ContaExcel											
010010	CP40MOD385	Qué es ContaExcel Add In											
010020	CP40MOD385	Login de ContaExcel Add In a ContaPyme											
010010	CP40MOD390	Introducción											
010020	CP40MOD390	Indicadores											
010010	CP40MOD430	Términos y condiciones del servicio de soporte técnico											
010020	CP40MOD430	Cómo funciona nuestro servicio de soporte en línea											
010010	CP40MOD490	Instalación ContaPyme - AgroWin versión 4.0 Parte 1											
010020	CP40MOD490	Instalación ContaPyme - AgroWin versión 4.0 Parte 2											
010010	CP40MOD530	¿Qué es ContaPyme móvil?											
010020	CP40MOD530	¿Cómo descargar ContaPyme móvil?											
010030	CP40MOD530	Compatibilidad de ContaPyme móvil											
010040	CP40MOD530	Ingreso a ContaPyme móvil											
010020	CP40MOD620	Conceptos y principios generales NIIF											
010010	CP40MOD620	Introducción Curso NIIF Súper fáciles con ContaPyme											
014010	CP40MOD075	Objetivo o alcance de la norma NIC 21 - Sección 30											
015010	CP40MOD020	Adecuación Inicial NIIF											
015020	CP40MOD020	Plan de cuentas NIIF											
015030	CP40MOD020	Reexpresión de saldos de cuentas											
015040	CP40MOD020	Tipo de contabilización local - NIIF											
015010	CP40MOD080	Configuraciones iniciales para el manejo de cartera y proveedores											
015020	CP40MOD140	Catálogo de listas de precios											
015040	CP40MOD140	Asignación de listas de precios											
015045	CP40MOD140	Configuración de listas de precios por defecto											
015090	CP40MOD140	Operación de facturación de elementos con lista de precios											
015010	CP40MOD170	Concepto de inventario contable, físico y disponible											
015020	CP40MOD170	Cruce de documentos de inventario											
017010	CP40MOD075	Definición de moneda extranjera, moneda funcional y moneda de presentación											
